ID,X0,X2,X3,X12,X14,X17,X19,X20,X22,X23,X27,X28,X29,X31,X34,X35,X37,X43,X44,X46,X47,X48,X51,X52,X53,X54,X61,X62,X64,X66,X68,X69,X71,X75,X76,X78,X80,X81,X82,X84,X85,X90,X94,X96,X98,X99,X101,X102,X108,X109,X111,X113,X115,X118,X119,X120,X125,X126,X127,X128,X130,X131,X132,X134,X135,X136,X142,X144,X147,X148,X150,X151,X155,X156,X157,X158,X159,X162,X163,X166,X167,X169,X170,X171,X172,X176,X178,X179,X180,X183,X185,X187,X189,X191,X197,X198,X208,X209,X211,X214,X215,X216,X218,X219,X221,X222,X223,X224,X227,X228,X229,X231,X232,X234,X236,X237,X238,X239,X241,X242,X244,X250,X251,X255,X256,X261,X263,X264,X265,X267,X271,X272,X273,X274,X275,X276,X277,X279,X283,X285,X286,X300,X301,X302,X304,X306,X308,X309,X310,X311,X312,X313,X314,X315,X316,X317,X325,X328,X329,X331,X336,X339,X343,X344,X346,X348,X349,X350,X351,X352,X354,X355,X360,X363,X367,X368,X370,X371,X373,X376,X377,X378,X379,X382,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,32,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29.87897109985352,34.757614135742195,-1.0,41.80485534667969,-1.0,30.46023178100586,-1.0,-1.0,14.16299057006836,-1.0,-1.0,17.352964401245114,35.44855880737305,8.47166633605957,45.94154739379883,6.246103286743164,15.641412734985352,-1.0,54.947425842285156,6.7648210525512695,-1.0,14.219700813293455,-1.0,12.727775573730467,45.84012985229492,-1.0,22.19179916381836,-1.0,12.609612464904785,-1.0,28.35849189758301
6,32,19,4,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,27.3723258972168,32.016067504882805,-1.0,37.94417190551758,-1.0,27.877384185791016,-1.0,-1.0,11.389375686645508,-1.0,-1.0,16.307762145996097,32.700305938720696,8.965805053710938,42.144691467285156,6.673951625823975,13.31390380859375,-1.0,49.65196228027344,6.766887187957764,-1.0,11.654630661010742,-1.0,10.925304412841797,41.19063949584961,-1.0,20.536998748779297,-1.0,10.86996841430664,-1.0,25.610490798950195
7,20,34,2,0,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,21.50050544738769,23.67752265930176,-0.9999998807907104,28.11462211608887,-0.9999999403953552,20.72831153869629,-0.9999998807907104,-1.0,4.488039016723633,-0.9999999403953552,-0.999998927116394,14.283369064331055,24.541242599487305,9.894756317138672,31.97982788085937,6.869400501251222,6.5291666984558105,-0.9999998211860656,37.01520538330078,7.093076229095459,-1.0,5.412879943847656,-0.9999998807907104,6.614588737487793,30.421485900878906,-0.999999701976776,16.796558380126953,-0.9999997615814208,5.4891462326049805,-0.9999997615814208,19.41802978515625
9,20,34,5,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,20.599346160888672,23.760671615600586,-0.9999998807907104,28.11602783203125,-0.9999999403953552,21.011940002441406,-0.9999998807907104,-1.0,4.801306247711182,-0.9999998807907104,-0.9999988675117492,14.72244930267334,24.02978134155273,10.021007537841797,31.71747589111328,7.449631690979004,6.046499252319336,-0.999999701976776,37.15153121948242,6.629885196685791,-1.0,5.170588493347168,-0.9999998211860656,6.188605785369872,29.374860763549805,-0.9999995827674866,16.730623245239258,-0.9999998211860656,5.2273712158203125,-0.999999463558197,19.28374481201172
13,20,34,5,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,20.784500122070312,22.22470474243164,-0.9999997615814208,26.91432762145996,-0.9999999403953552,19.89552116394043,-0.9999996423721312,-1.0,4.082958221435547,-0.9999997615814208,-0.9999969005584716,14.54075813293457,22.89950561523437,10.351588249206543,30.71418190002441,6.883820056915282,5.188856601715088,-0.9999996423721312,35.57431030273437,6.280762195587157,-0.9999999403953552,4.615174293518066,-0.9999995231628418,5.453438758850098,28.54917335510254,-0.999999225139618,15.964771270751953,-0.9999994039535522,4.870214462280273,-0.9999989867210388,18.56151390075684
18,40,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,28.44616508483887,31.835479736328125,-1.0,39.19021987915039,-1.0,28.757457733154297,-1.0,-1.0,12.329148292541506,-1.0,-1.0,16.78555679321289,32.660964965820305,8.928389549255371,43.28498458862305,5.98783016204834,13.404043197631836,-1.0,51.20795059204102,6.331751823425293,-1.0,12.43941879272461,-1.0,11.199625968933104,41.45946502685547,-1.0,20.5949764251709,-1.0,10.764665603637695,-1.0,26.424596786499023
24,9,25,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,27.41698837280273,30.93644142150879,-1.0,38.699440002441406,-1.0,27.74819183349609,-1.0,-1.0,11.677298545837402,-1.0,-1.0,16.65616798400879,32.40938949584961,8.947494506835938,42.07310485839844,5.722788333892822,13.113256454467773,-1.0,50.37443161010742,6.9128355979919425,-1.0,11.820467948913574,-1.0,10.430005073547363,40.93000793457031,-1.0,20.73335838317871,-1.0,10.430265426635742,-1.0,25.366552352905273
25,36,16,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,27.719953536987305,31.703073501586914,-1.0,38.595699310302734,-1.0,28.071889877319336,-1.0,-1.0,11.45987606048584,-1.0,-1.0,16.371025085449222,32.455322265625,8.546298027038574,42.29111862182617,6.390653610229492,12.871170043945312,-1.0,50.28593063354492,6.213339328765869,-1.0,11.77809238433838,-1.0,10.415663719177246,40.89031219482422,-1.0,20.57672882080078,-1.0,10.47697925567627,-1.0,25.97634506225586
27,43,16,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,33.117660522460945,37.91889572143555,-1.0,46.90259552001953,-1.0,34.28323745727539,-1.0,-1.0,16.94230842590332,-1.0,-1.0,17.882688522338867,39.25028991699219,7.469730854034424,50.53308486938477,5.746782302856445,18.431764602661133,-1.0,61.18585205078125,6.779703140258789,-1.0,17.378612518310547,-1.0,14.449769020080565,50.541709899902344,-1.0,23.89068603515625,-1.0,15.038928985595705,-1.0,31.166433334350586
30,31,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,9,33.03137588500977,38.72417068481445,-1.0,48.27985763549805,-1.0,35.06249618530273,-1.0,-1.0,18.79599952697754,-1.0,-1.0,19.656085968017575,39.62857055664063,7.961067199707031,51.6641960144043,6.015196800231934,19.011734008789066,-1.0,63.33888244628906,5.8032965660095215,-1.0,17.640783309936523,-1.0,14.711496353149414,51.00484848022461,-1.0,24.005231857299805,-1.0,15.417648315429688,-1.0,31.487144470214844
